action step launch new runCount start run lastSeen good bad recordLast badObserve deliver done observe0 observe1 observe2 observe3 observe4 observe5 observe6 observe7 observe8 observe9 observe10 observe11 observe12 observe13 observe14 observe15 observe16 observe17 observe18 observe19
- 0 true false 5 false false 20 false false false false false false 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 1 false true 5 false false 20 false false false false false false 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 2 false false 4 true false 20 false false false false false false 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 3 false false 4 false true 0 false false false false false false 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 4 false false 4 false false 0 true false true false false false 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 5 false false 4 false true 8 true false false false false false 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 6 false false 4 false true 8 false false false false false false 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 7 false false 4 false false 8 true false true false false false 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 8 false false 4 false true 9 true false false false false false 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 9 false false 4 false true 9 false false false false false false 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 10 false false 4 false false 9 true false true false false false 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 11 false false 4 false true 2 true false false false false false 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 12 false false 4 false true 2 false false false false false false 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 13 false false 4 false false 2 true false true false false false 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 14 false false 4 false true 9 true false false false false false 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 15 false false 4 false true 9 false false false false false false 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 16 false false 4 false false 9 true false true false false false 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 17 false false 4 false true 7 true false false false false false 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 18 false false 4 false true 7 false false false false false false 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 19 false false 4 false false 7 true false true false false false 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 20 false false 4 false true 7 true false false false false false 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 21 false false 4 false true 7 false false false false false false 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 22 false false 4 false false 7 true false true false false false 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 23 false false 4 false true 2 true false false false false false 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 24 false false 4 false true 2 false false false false false false 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 25 false false 4 false false 2 true false true false false false 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 26 false false 4 false true 9 true false false false false false 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 27 false false 4 false true 9 false false false false false false 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 28 false false 4 false false 9 true false true false false false 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
crowds 29 false false 4 false true 3 true false false false false false 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
