action step b n phase party b0 b10 b1 b11 b2 b12 b3 b13 b4 b14 b5 b15 b6 b16 b7 b17 b8 b18 b9 b19 a0 a10 a1 a11 a2 a12 a3 a13 a4 a14 a5 a15 a6 a16 a7 a17 a8 a18 a9 a19
- 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
[receiveB] 1 1 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
[receiveA] 2 1 1 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
[receiveB] 3 1 1 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
[receiveA] 4 1 2 1 1 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
[receiveB] 5 1 2 1 2 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
[receiveA] 6 1 3 1 1 2 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
[receiveB] 7 1 3 1 2 2 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0
[receiveA] 8 1 4 1 1 2 0 2 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0
[receiveB] 9 1 4 1 2 2 0 2 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 0 2 2 0 0 0 0 0 0 0 0 0 0 0
[receiveA] 10 1 5 1 1 2 0 2 0 0 2 2 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 0 2 2 0 0 0 0 0 0 0 0 0 0 0
[receiveB] 11 1 5 1 2 2 0 2 0 0 2 2 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 0 2 2 0 2 0 0 0 0 0 0 0 0 0
[receiveA] 12 1 6 1 1 2 0 2 0 0 2 2 0 2 0 2 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 0 2 2 0 2 0 0 0 0 0 0 0 0 0
[receiveB] 13 1 6 1 2 2 0 2 0 0 2 2 0 2 0 2 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 0 0 0 0 0 0
[receiveA] 14 1 7 1 1 2 0 2 0 0 2 2 0 2 0 2 0 0 2 0 0 0 0 0 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 0 0 0 0 0 0
[receiveB] 15 1 7 1 2 2 0 2 0 0 2 2 0 2 0 2 0 0 2 0 0 0 0 0 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 0 0 0
[receiveA] 16 1 8 1 1 2 0 2 0 0 2 2 0 2 0 2 0 0 2 0 2 0 0 0 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 0 0 0 0
[receiveB] 17 1 8 1 2 2 0 2 0 0 2 2 0 2 0 2 0 0 2 0 2 0 0 0 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 2 0 0 0
[receiveA] 18 1 9 1 1 2 0 2 0 0 2 2 0 2 0 2 0 0 2 0 2 0 2 0 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 2 0 0 0
[receiveB] 19 1 9 1 2 2 0 2 0 0 2 2 0 2 0 2 0 0 2 0 2 0 2 0 0 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 2 0 2 0
[receiveA] 20 1 0 2 1 2 0 2 0 0 2 2 0 2 0 2 0 0 2 0 2 0 2 0 2 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 2 0 2 0
[receiveB] 21 1 0 2 2 2 0 2 0 0 2 2 0 2 0 2 0 0 2 0 2 0 2 0 2 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 2 0 2 0
[receiveA] 22 1 1 2 2 2 0 2 0 0 2 2 0 2 0 2 0 0 2 0 2 0 2 0 2 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 2 0 2 0
[receiveA] 23 1 2 2 2 2 0 2 0 0 2 2 0 2 0 2 0 0 2 0 2 0 2 0 2 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 2 0 2 0
[receiveA] 24 1 3 2 2 2 0 2 0 1 2 2 0 2 0 2 0 0 2 0 2 0 2 0 2 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 2 0 2 0
[receiveA] 25 1 4 2 2 2 0 2 0 1 2 2 0 2 0 2 0 0 2 0 2 0 2 0 2 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 2 0 2 0
[receiveA] 26 1 5 2 2 2 0 2 0 1 2 2 0 2 0 2 0 0 2 0 2 0 2 0 2 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 2 0 2 0
[receiveA] 27 1 6 2 2 2 0 2 0 1 2 2 0 2 0 2 0 0 2 0 2 0 2 0 2 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 2 0 2 0
[receiveA] 28 1 7 2 2 2 0 2 0 1 2 2 0 2 0 2 0 1 2 0 2 0 2 0 2 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 2 0 2 0
[receiveA] 29 1 8 2 2 2 0 2 0 1 2 2 0 2 0 2 0 1 2 1 2 0 2 0 2 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 2 0 2 0
[receiveA] 30 1 9 2 2 2 0 2 0 1 2 2 0 2 0 2 0 1 2 1 2 1 2 0 2 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 2 0 2 0
[receiveA] 31 1 1 2 1 2 0 2 0 1 2 2 0 2 0 2 0 1 2 1 2 1 2 1 2 2 0 0 2 0 2 0 2 2 0 2 0 0 2 2 0 2 0 2 0
[receiveB] 32 1 2 2 1 2 0 2 0 1 2 2 0 2 0 2 0 1 2 1 2 1 2 1 2 2 0 1 2 0 2 0 2 2 0 2 0 0 2 2 0 2 0 2 0
