action step s
- 0 1
rmc20_1 1 1
rmc20_1 2 1
rmc20_1 3 1
rmc20_1 4 1
rmc20_1 5 1
rmc20_1 6 1
rmc20_1 7 2
rmc20_1 8 6
rmc20_1 9 1
rmc20_1 10 4
rmc20_1 11 1
rmc20_1 12 1
rmc20_1 13 2
rmc20_1 14 7
rmc20_1 15 1
rmc20_1 16 4
rmc20_1 17 3
rmc20_1 18 4
rmc20_1 19 1
rmc20_1 20 1
rmc20_1 21 1
rmc20_1 22 1
rmc20_1 23 1
rmc20_1 24 1
rmc20_1 25 1
rmc20_1 26 4
rmc20_1 27 4
rmc20_1 28 1
rmc20_1 29 1
rmc20_1 30 1
rmc20_1 31 5
rmc20_1 32 2
rmc20_1 33 6
rmc20_1 34 1
rmc20_1 35 2
rmc20_1 36 2
rmc20_1 37 2
rmc20_1 38 9
rmc20_1 39 2
rmc20_1 40 7
rmc20_1 41 6
rmc20_1 42 1
rmc20_1 43 1
rmc20_1 44 1
rmc20_1 45 1
rmc20_1 46 5
rmc20_1 47 2
rmc20_1 48 6
rmc20_1 49 1
rmc20_1 50 1
rmc20_1 51 2
rmc20_1 52 2
rmc20_1 53 2
rmc20_1 54 8
rmc20_1 55 11
rmc20_1 56 2
rmc20_1 57 6
rmc20_1 58 8
rmc20_1 59 2
rmc20_1 60 9
rmc20_1 61 3
rmc20_1 62 1
rmc20_1 63 1
rmc20_1 64 1
rmc20_1 65 1
rmc20_1 66 1
rmc20_1 67 1
rmc20_1 68 1
rmc20_1 69 4
rmc20_1 70 4
rmc20_1 71 3
rmc20_1 72 4
rmc20_1 73 3
rmc20_1 74 4
rmc20_1 75 4
rmc20_1 76 4
rmc20_1 77 1
rmc20_1 78 1
rmc20_1 79 1
rmc20_1 80 1
rmc20_1 81 2
rmc20_1 82 6
rmc20_1 83 1
rmc20_1 84 1
rmc20_1 85 1
rmc20_1 86 1
rmc20_1 87 1
rmc20_1 88 1
rmc20_1 89 1
rmc20_1 90 1
rmc20_1 91 1
rmc20_1 92 1
rmc20_1 93 2
rmc20_1 94 7
rmc20_1 95 3
rmc20_1 96 4
rmc20_1 97 1
rmc20_1 98 1
rmc20_1 99 1
rmc20_1 100 2
rmc20_1 101 2
rmc20_1 102 7
rmc20_1 103 1
rmc20_1 104 1
rmc20_1 105 1
rmc20_1 106 1
rmc20_1 107 1
rmc20_1 108 4
rmc20_1 109 4
rmc20_1 110 1
