action step s
- 0 1
rmc20_1 1 1
rmc20_1 2 1
rmc20_1 3 1
rmc20_1 4 1
rmc20_1 5 1
rmc20_1 6 1
rmc20_1 7 1
rmc20_1 8 5
rmc20_1 9 1
rmc20_1 10 1
rmc20_1 11 4
rmc20_1 12 3
rmc20_1 13 6
rmc20_1 14 1
rmc20_1 15 1
rmc20_1 16 1
rmc20_1 17 1
rmc20_1 18 2
rmc20_1 19 2
rmc20_1 20 11
rmc20_1 21 2
rmc20_1 22 6
rmc20_1 23 1
rmc20_1 24 4
rmc20_1 25 3
rmc20_1 26 4
rmc20_1 27 1
rmc20_1 28 1
rmc20_1 29 1
rmc20_1 30 1
rmc20_1 31 2
rmc20_1 32 6
rmc20_1 33 1
rmc20_1 34 1
rmc20_1 35 1
rmc20_1 36 1
rmc20_1 37 2
rmc20_1 38 6
rmc20_1 39 1
rmc20_1 40 1
rmc20_1 41 4
rmc20_1 42 4
rmc20_1 43 3
rmc20_1 44 1
rmc20_1 45 1
rmc20_1 46 1
rmc20_1 47 5
rmc20_1 48 1
rmc20_1 49 1
rmc20_1 50 5
rmc20_1 51 2
rmc20_1 52 2
rmc20_1 53 2
rmc20_1 54 6
rmc20_1 55 1
rmc20_1 56 1
rmc20_1 57 1
rmc20_1 58 1
rmc20_1 59 1
rmc20_1 60 1
rmc20_1 61 4
rmc20_1 62 3
rmc20_1 63 6
rmc20_1 64 3
rmc20_1 65 4
rmc20_1 66 3
rmc20_1 67 4
rmc20_1 68 4
rmc20_1 69 3
rmc20_1 70 6
rmc20_1 71 3
rmc20_1 72 10
rmc20_1 73 9
rmc20_1 74 2
rmc20_1 75 2
rmc20_1 76 6
rmc20_1 77 1
rmc20_1 78 2
rmc20_1 79 6
rmc20_1 80 2
rmc20_1 81 2
rmc20_1 82 6
rmc20_1 83 2
rmc20_1 84 7
rmc20_1 85 1
rmc20_1 86 1
rmc20_1 87 2
rmc20_1 88 9
rmc20_1 89 2
rmc20_1 90 6
rmc20_1 91 1
rmc20_1 92 1
rmc20_1 93 1
rmc20_1 94 1
rmc20_1 95 1
rmc20_1 96 1
rmc20_1 97 4
rmc20_1 98 1
rmc20_1 99 1
rmc20_1 100 1
rmc20_1 101 1
rmc20_1 102 1
rmc20_1 103 1
rmc20_1 104 1
rmc20_1 105 2
rmc20_1 106 2
rmc20_1 107 2
rmc20_1 108 6
rmc20_1 109 1
rmc20_1 110 1
