action step s
- 0 1
rmc50_2 1 3
rmc50_2 2 2
rmc50_2 3 4
rmc50_2 4 4
rmc50_2 5 4
rmc50_2 6 5
rmc50_2 7 7
rmc50_2 8 1
rmc50_2 9 3
rmc50_2 10 2
rmc50_2 11 2
rmc50_2 12 2
rmc50_2 13 1
rmc50_2 14 3
rmc50_2 15 9
rmc50_2 16 2
rmc50_2 17 2
rmc50_2 18 1
rmc50_2 19 5
rmc50_2 20 7
rmc50_2 21 1
rmc50_2 22 3
rmc50_2 23 5
rmc50_2 24 10
rmc50_2 25 2
rmc50_2 26 1
rmc50_2 27 3
rmc50_2 28 8
rmc50_2 29 3
rmc50_2 30 2
rmc50_2 31 2
rmc50_2 32 2
rmc50_2 33 4
rmc50_2 34 3
rmc50_2 35 2
rmc50_2 36 1
rmc50_2 37 3
rmc50_2 38 2
rmc50_2 39 2
rmc50_2 40 1
rmc50_2 41 5
rmc50_2 42 9
rmc50_2 43 4
rmc50_2 44 1
rmc50_2 45 3
rmc50_2 46 2
rmc50_2 47 5
rmc50_2 48 9
rmc50_2 49 2
rmc50_2 50 2
rmc50_2 51 1
rmc50_2 52 3
rmc50_2 53 2
rmc50_2 54 1
rmc50_2 55 3
rmc50_2 56 5
rmc50_2 57 7
rmc50_2 58 1
rmc50_2 59 3
rmc50_2 60 2
rmc50_2 61 2
rmc50_2 62 1
rmc50_2 63 7
rmc50_2 64 1
rmc50_2 65 3
rmc50_2 66 6
rmc50_2 67 1
rmc50_2 68 3
rmc50_2 69 7
rmc50_2 70 3
rmc50_2 71 2
rmc50_2 72 2
rmc50_2 73 2
rmc50_2 74 1
rmc50_2 75 3
rmc50_2 76 2
rmc50_2 77 1
rmc50_2 78 3
rmc50_2 79 2
rmc50_2 80 1
rmc50_2 81 3
rmc50_2 82 2
rmc50_2 83 2
rmc50_2 84 1
rmc50_2 85 5
rmc50_2 86 10
rmc50_2 87 2
rmc50_2 88 1
rmc50_2 89 3
rmc50_2 90 5
rmc50_2 91 9
rmc50_2 92 4
