state id: 1, label: 10111101000
state id: 2, label: 10111101100
state id: 3, label: 10111101101
state id: 4, label: 10111010101
state id: 5, label: 10110010001
state id: 6, label: 10100010101
state id: 7, label: 10000010101
state id: 8, label: 10111100101
state id: 9, label: 10111100001
state id: 10, label: 10110010101
state id: 11, label: 10000010001
state id: 12, label: 11000010101
state id: 13, label: 10111101001
state id: 14, label: 10111000101
state id: 15, label: 10100010001
state id: 16, label: 10111110001
