state id: 1, label: 101111010000
state id: 2, label: 101111011000
state id: 3, label: 101111011011
state id: 4, label: 101110101011
state id: 5, label: 101100100010
state id: 6, label: 101000101011
state id: 7, label: 100000101011
state id: 8, label: 101111011010
state id: 9, label: 101111001011
state id: 10, label: 101111000010
state id: 11, label: 101110101010
state id: 12, label: 101100101011
state id: 13, label: 100000100010
state id: 14, label: 110000101011
state id: 15, label: 101111010010
state id: 16, label: 101111001010
state id: 17, label: 101000100010
state id: 18, label: 101110001011
state id: 19, label: 100000101010
state id: 20, label: 101111100010
