action step c s1 u1 v1 p1 s2 u2 v2 p2 s3 u3 v3 p3 s4 u4 v4 p4
- 0 1 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0
[pick] 1 1 1 true 0 0 1 true 1 1 1 true 1 1 1 true 0 0
[read] 2 2 1 true 1 0 1 false 1 1 1 true 0 1 1 false 0 0
[read] 3 3 1 true 1 0 1 false 0 0 1 true 0 1 1 false 1 0
[read] 4 3 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0
[retry] 5 1 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0
[pick] 6 1 1 true 1 1 1 true 0 0 1 true 0 0 1 true 1 1
[read] 7 2 1 true 0 1 1 false 0 0 1 true 1 0 1 false 1 1
[read] 8 3 1 true 0 1 1 false 1 0 1 true 1 0 1 false 0 0
[read] 9 3 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0
[retry] 10 1 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0
[pick] 11 1 1 true 1 1 1 true 0 0 1 true 0 0 1 true 1 1
[read] 12 2 1 true 0 1 1 false 0 0 1 true 1 0 1 false 1 1
[read] 13 3 1 true 0 1 1 false 1 0 1 true 1 0 1 false 0 0
[read] 14 3 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0
[retry] 15 1 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0
[pick] 16 1 1 true 1 1 1 true 1 1 1 true 0 0 1 true 1 1
[read] 17 2 1 false 1 1 1 true 0 1 1 true 1 0 1 false 1 1
[read] 18 3 1 false 0 0 1 false 1 1 1 true 1 0 1 false 1 0
[read] 19 3 2 false 0 0 2 false 0 1 2 true 0 0 2 false 0 0
[done] 20 3 3 false 0 0 3 false 0 0 3 false 0 0 3 false 0 0
[loop] 21 3 3 false 0 0 3 false 0 0 3 false 0 0 3 false 0 0
