state id: 1, label: 100010010011011010000010011
state id: 2, label: 100010110011011010000010011
state id: 3, label: 100010100011011010000010011
state id: 4, label: 100010101011011010000010011
state id: 5, label: 100010101111011010000010011
state id: 6, label: 100010101101011010000010011
state id: 7, label: 100011101101011010000010011
state id: 8, label: 100011101101011010000110011
state id: 9, label: 100001101101011010000110011
state id: 10, label: 100001101101011010001110011
state id: 11, label: 100001101101111010001110011
state id: 12, label: 100001101101111010001100011
state id: 13, label: 100001101101111110001100011
state id: 14, label: 100001101101111110001100010
state id: 15, label: 100101101101111110001100010
state id: 16, label: 100101101101111110001100110
state id: 17, label: 100101101101110111001100110
state id: 18, label: 100101101101111111001100110
state id: 19, label: 100101101100110111101100110
state id: 20, label: 100101101101110111101100110
state id: 21, label: 100101101100100111111100110
state id: 22, label: 100101101100110111111100110
state id: 23, label: 100101101100100101111100100
state id: 24, label: 100101101100100111111100100
state id: 25, label: 101101101100100101111101100
state id: 26, label: 100101101100100101111101100
state id: 27, label: 111101101100100101111101100
