state id: 1, label: 100010010011011010
state id: 2, label: 100010110011011010
state id: 3, label: 100010100011011010
state id: 4, label: 100010101011011010
state id: 5, label: 100010101111011010
state id: 6, label: 100010101101011010
state id: 7, label: 100011101101011010
state id: 8, label: 100001101101011010
state id: 9, label: 100001101101111010
state id: 10, label: 100001101101111110
state id: 11, label: 100101101101111110
state id: 12, label: 100101101101111111
state id: 13, label: 100101101101110111
state id: 14, label: 100101101100110111
state id: 15, label: 100101101100100111
state id: 16, label: 100101101100100101
state id: 17, label: 111101101100100101
state id: 18, label: 101101101100100101
