state id: 1, label: 1000100100110110100000100110111
state id: 2, label: 1000101100110110100000100110111
state id: 3, label: 1000101000110110100000100110111
state id: 4, label: 1000101010110110100000100110111
state id: 5, label: 1000101011110110100000100110111
state id: 6, label: 1000101011010110100000100110111
state id: 7, label: 1000111011010110100000100110111
state id: 8, label: 1000111011010110100001100110111
state id: 9, label: 1000011011010110100001100110111
state id: 10, label: 1000011011010110100001100110101
state id: 11, label: 1000011011010110100011100110101
state id: 12, label: 1000011011011110100011100110101
state id: 13, label: 1000011011011110100011000110101
state id: 14, label: 1000011011011111100011000110101
state id: 15, label: 1000011011011111100011000100101
state id: 16, label: 1001011011011111100011000100101
state id: 17, label: 1001011011011111110011001100101
state id: 18, label: 1001011011011111100011001100101
state id: 19, label: 1001011011011101110011001100001
state id: 20, label: 1001011011011111110011001100001
state id: 21, label: 1001011011011101111011001101001
state id: 22, label: 1001011011011101110011001101001
state id: 23, label: 1001011011001101111111001101001
state id: 24, label: 1001011011001101111011001101001
state id: 25, label: 1001011011001001111111001101000
state id: 26, label: 1001011011001101111111001101000
state id: 27, label: 1001011011001001011111001001000
state id: 28, label: 1001011011001001111111001001000
state id: 29, label: 1011011011001001011111011001000
state id: 30, label: 1001011011001001011111011001000
state id: 31, label: 1111011011001001011111011001000
