state id: 1, label: 1000100100110110100
state id: 2, label: 1000101100110110100
state id: 3, label: 1000101000110110100
state id: 4, label: 1000101010110110100
state id: 5, label: 1000101011110110100
state id: 6, label: 1000101011010110100
state id: 7, label: 1000111011010110100
state id: 8, label: 1000011011010110100
state id: 9, label: 1000011011011110100
state id: 10, label: 1000011011011111100
state id: 11, label: 1001011011011111100
state id: 12, label: 1001011011011111110
state id: 13, label: 1001011011011101110
state id: 14, label: 1001011011011101111
state id: 15, label: 1001011011001101111
state id: 16, label: 1001011011001001111
state id: 17, label: 1011011011001001011
state id: 18, label: 1001011011001001011
state id: 19, label: 1111011011001001011
