state id: 1, label: 100010010011011010000
state id: 2, label: 100010110011011010000
state id: 3, label: 100010100011011010000
state id: 4, label: 100010101011011010000
state id: 5, label: 100010101111011010000
state id: 6, label: 100010101101011010000
state id: 7, label: 100011101101011010000
state id: 8, label: 100001101101011010000
state id: 9, label: 100001101101011010001
state id: 10, label: 100001101101111010001
state id: 11, label: 100001101101111110001
state id: 12, label: 100101101101111110001
state id: 13, label: 100101101101111111001
state id: 14, label: 100101101101110111001
state id: 15, label: 100101101101110111101
state id: 16, label: 100101101100110111101
state id: 17, label: 100101101100100111111
state id: 18, label: 100101101100110111111
state id: 19, label: 101101101100100101111
state id: 20, label: 100101101100100101111
state id: 21, label: 111101101100100101111
