state id: 1, label: 10001001001101101
state id: 2, label: 10001011001101101
state id: 3, label: 10001010001101101
state id: 4, label: 10001010101101101
state id: 5, label: 10001010111101101
state id: 6, label: 10001010110101101
state id: 7, label: 10001110110101101
state id: 8, label: 10000110110101101
state id: 9, label: 10000110110111101
state id: 10, label: 10000110110111111
state id: 11, label: 10010110110111111
state id: 12, label: 10010110110111011
state id: 13, label: 10010110110011011
state id: 14, label: 10010110110010011
state id: 15, label: 10010110110010010
state id: 16, label: 10110110110010010
state id: 17, label: 11110110110010010
