state id: 1, label: empty
state id: 2, label: 10001001110
state id: 3, label: 10001011110
state id: 4, label: 10001101110
state id: 5, label: 10001111110
state id: 6, label: 10000111110
state id: 7, label: 10011001110
state id: 8, label: 10011011110
state id: 9, label: 10011101110
state id: 10, label: 10011111110
state id: 11, label: 10010111110
state id: 12, label: 10010110010
state id: 13, label: 10011000010
state id: 14, label: 10011010010
state id: 15, label: 10011110010
state id: 16, label: 10010010010
state id: 17, label: 10011001000
state id: 18, label: 10011000000
state id: 19, label: 10001010000
state id: 20, label: 10001110000
state id: 21, label: 10000110000
state id: 22, label: 10011010000
state id: 23, label: 10011110000
state id: 24, label: 10010110000
state id: 25, label: 10010110011
state id: 26, label: 10011000011
state id: 27, label: 10011010011
state id: 28, label: 10011110011
state id: 29, label: 10010010011
state id: 30, label: 10011001100
state id: 31, label: 10011001101
state id: 32, label: 10010111101
state id: 33, label: 10011001001
state id: 34, label: 10011000001
state id: 35, label: 10011110001
state id: 36, label: 10010010001
state id: 37, label: 10001010001
state id: 38, label: 10001110001
state id: 39, label: 10000110001
state id: 40, label: 10011010001
state id: 41, label: 10010110001
state id: 42, label: 10001001101
state id: 43, label: 10001001001
state id: 44, label: 10111000001
state id: 45, label: 11010110001
state id: 46, label: 11110110001
state id: 47, label: 10010011110
state id: 48, label: 10000101110
state id: 49, label: 10011001010
state id: 50, label: 10010010000
state id: 51, label: 10001000000
state id: 52, label: 10001001100
state id: 53, label: 10000111101
state id: 54, label: 10001000001
state id: 55, label: 10101000001
state id: 56, label: 11100110001
state id: 57, label: 10011101010
state id: 58, label: 10010111010
state id: 59, label: 10011011010
state id: 60, label: 10011111010
state id: 61, label: 10011011000
state id: 62, label: 10011111000
state id: 63, label: 10010111000
state id: 64, label: 10010001110
state id: 65, label: 10010000000
state id: 66, label: 10010111001
state id: 67, label: 10011011001
state id: 68, label: 10010101110
state id: 69, label: 10001101100
state id: 70, label: 10000111100
state id: 71, label: 10011101100
state id: 72, label: 10011101000
state id: 73, label: 10011100000
state id: 74, label: 10010111100
state id: 75, label: 10001001000
state id: 76, label: 10011011100
state id: 77, label: 10000111001
state id: 78, label: 10001011000
state id: 79, label: 10001100000
