state id: 1, label: empty
state id: 2, label: 10001001
state id: 3, label: 10001011
state id: 4, label: 10001101
state id: 5, label: 10001111
state id: 6, label: 10000111
state id: 7, label: 10011001
state id: 8, label: 10011011
state id: 9, label: 10011101
state id: 10, label: 10011111
state id: 11, label: 10010111
state id: 12, label: 10010110
state id: 13, label: 10011000
state id: 14, label: 10011010
state id: 15, label: 10011110
state id: 16, label: 10010010
state id: 17, label: 10001010
state id: 18, label: 10001110
state id: 19, label: 10000110
state id: 20, label: 10111000
state id: 21, label: 11010110
state id: 22, label: 11110110
state id: 23, label: 10010011
state id: 24, label: 10000101
state id: 25, label: 10001000
state id: 26, label: 10101000
state id: 27, label: 11100110
state id: 28, label: 10010001
state id: 29, label: 10010000
state id: 30, label: 10010101
state id: 31, label: 10011100
state id: 32, label: 10001100
