state id: 1, label: empty
state id: 2, label: 100010011
state id: 3, label: 100010111
state id: 4, label: 100011011
state id: 5, label: 100011111
state id: 6, label: 100001111
state id: 7, label: 100110011
state id: 8, label: 100110111
state id: 9, label: 100111011
state id: 10, label: 100111111
state id: 11, label: 100101111
state id: 12, label: 100101100
state id: 13, label: 100110000
state id: 14, label: 100110100
state id: 15, label: 100111100
state id: 16, label: 100100100
state id: 17, label: 100110010
state id: 18, label: 100010100
state id: 19, label: 100011100
state id: 20, label: 100001100
state id: 21, label: 100010010
state id: 22, label: 101110000
state id: 23, label: 110101100
state id: 24, label: 111101100
state id: 25, label: 100100111
state id: 26, label: 100001011
state id: 27, label: 100010000
state id: 28, label: 101010000
state id: 29, label: 111001100
state id: 30, label: 100111010
state id: 31, label: 100101110
state id: 32, label: 100110110
state id: 33, label: 100111110
state id: 34, label: 100100011
state id: 35, label: 100100000
state id: 36, label: 100101011
state id: 37, label: 100111000
state id: 38, label: 100001110
state id: 39, label: 100010110
state id: 40, label: 100011000
