state id: 1, label: empty
state id: 2, label: 100010011101
state id: 3, label: 100010111101
state id: 4, label: 100011011101
state id: 5, label: 100011111101
state id: 6, label: 100001111101
state id: 7, label: 100110011101
state id: 8, label: 100110111101
state id: 9, label: 100111011101
state id: 10, label: 100111111101
state id: 11, label: 100101111101
state id: 12, label: 100101100101
state id: 13, label: 100110000101
state id: 14, label: 100110100101
state id: 15, label: 100111100101
state id: 16, label: 100100100101
state id: 17, label: 100110010001
state id: 18, label: 100110010000
state id: 19, label: 100110000000
state id: 20, label: 100010100000
state id: 21, label: 100011100000
state id: 22, label: 100001100000
state id: 23, label: 100110100000
state id: 24, label: 100111100000
state id: 25, label: 100101100000
state id: 26, label: 100110000100
state id: 27, label: 100110100100
state id: 28, label: 100111100100
state id: 29, label: 100101100100
state id: 30, label: 100101100110
state id: 31, label: 100110000110
state id: 32, label: 100110100110
state id: 33, label: 100111100110
state id: 34, label: 100100100110
state id: 35, label: 100010011100
state id: 36, label: 100001111100
state id: 37, label: 100110011100
state id: 38, label: 100110011000
state id: 39, label: 100110011010
state id: 40, label: 100101111010
state id: 41, label: 100110010010
state id: 42, label: 100110000010
state id: 43, label: 100111100010
state id: 44, label: 100100100010
state id: 45, label: 100010100010
state id: 46, label: 100011100010
state id: 47, label: 100001100010
state id: 48, label: 100110100010
state id: 49, label: 100101100010
state id: 50, label: 100010011010
state id: 51, label: 100010010010
state id: 52, label: 101110000010
state id: 53, label: 110101100010
state id: 54, label: 111101100010
state id: 55, label: 100100111101
state id: 56, label: 100001011101
state id: 57, label: 100110010101
state id: 58, label: 100110000001
state id: 59, label: 100100100000
state id: 60, label: 100010000000
state id: 61, label: 100100100100
state id: 62, label: 100010011000
state id: 63, label: 100001111010
state id: 64, label: 100010000010
state id: 65, label: 101010000010
state id: 66, label: 111001100010
state id: 67, label: 100010111100
state id: 68, label: 100011011100
state id: 69, label: 100110111100
state id: 70, label: 100111011100
state id: 71, label: 100101111100
state id: 72, label: 100111010100
state id: 73, label: 100101110100
state id: 74, label: 100110110100
state id: 75, label: 100111110100
state id: 76, label: 100110110000
state id: 77, label: 100111110000
state id: 78, label: 100101110000
state id: 79, label: 100100011101
state id: 80, label: 100110011001
state id: 81, label: 100100000000
state id: 82, label: 100111110101
state id: 83, label: 100111111100
state id: 84, label: 100110010100
state id: 85, label: 100101110010
state id: 86, label: 100110110010
state id: 87, label: 100101011101
state id: 88, label: 100011011000
state id: 89, label: 100001111000
state id: 90, label: 100111011000
state id: 91, label: 100111010000
state id: 92, label: 100111000000
state id: 93, label: 100101111000
state id: 94, label: 100010011001
state id: 95, label: 100010010001
state id: 96, label: 100010010000
state id: 97, label: 100110111000
state id: 98, label: 100001110010
state id: 99, label: 100010110000
state id: 100, label: 100011000000
state id: 101, label: 100111100001
state id: 102, label: 100100100001
state id: 103, label: 100101100001
