action step s srep nrtr i bs s_ab fs ls r rrep fr lr br r_ab recv T k l
- 0 0 0 0 0 false false false false 0 0 false false false false false false 0 0
[NewFile] 1 1 0 0 1 false false false false 0 0 false false false false false true 0 0
[aF] 2 2 0 0 1 false false true false 0 0 false false false false false true 1 0
[aG] 3 2 0 0 1 false false true false 1 0 true false false false true true 0 0
receiver 4 2 0 0 1 false false true false 2 0 true false false false true true 0 0
receiver 5 2 0 0 1 false false true false 3 1 true false false false true true 0 0
[aA] 6 2 0 0 1 false false true false 4 1 true false false true true true 0 1
[aB] 7 4 0 0 1 false true true false 4 1 true false false true true true 0 0
sender 8 1 0 0 2 false true true false 4 1 true false false true true true 0 0
[aF] 9 2 0 0 2 true true false false 4 1 true false false true true true 1 0
[aG] 10 2 0 0 2 true true false false 2 1 false false true true true true 0 0
receiver 11 2 0 0 2 true true false false 3 2 false false true true true true 0 0
[aA] 12 2 0 0 2 true true false false 4 2 false false true false true true 0 1
[aB] 13 4 0 0 2 true false false false 4 2 false false true false true true 0 0
sender 14 1 0 0 3 true false false false 4 2 false false true false true true 0 0
[aF] 15 2 0 0 3 false false false false 4 2 false false true false true true 1 0
[aG] 16 2 0 0 3 false false false false 2 2 false false false false true true 0 0
receiver 17 2 0 0 3 false false false false 3 2 false false false false true true 0 0
[aA] 18 2 0 0 3 false false false false 4 2 false false false true true true 0 2
[TO_Ack] 19 3 0 0 3 false false false false 4 2 false false false true true true 0 0
[aF] 20 2 0 1 3 false false false false 4 2 false false false true true true 1 0
[aG] 21 2 0 1 3 false false false false 2 2 false false false true true true 0 0
[aA] 22 2 0 1 3 false false false false 4 2 false false false true true true 0 1
[aB] 23 4 0 1 3 false true false false 4 2 false false false true true true 0 0
sender 24 1 0 1 4 false true false false 4 2 false false false true true true 0 0
[aF] 25 2 0 0 4 true true false false 4 2 false false false true true true 1 0
[aG] 26 2 0 0 4 true true false false 2 2 false false true true true true 0 0
receiver 27 2 0 0 4 true true false false 3 2 false false true true true true 0 0
[aA] 28 2 0 0 4 true true false false 4 2 false false true false true true 0 1
[aB] 29 4 0 0 4 true false false false 4 2 false false true false true true 0 0
sender 30 1 0 0 5 true false false false 4 2 false false true false true true 0 0
[aF] 31 2 0 0 5 false false false false 4 2 false false true false true true 1 0
[aG] 32 2 0 0 5 false false false false 2 2 false false false false true true 0 0
receiver 33 2 0 0 5 false false false false 3 2 false false false false true true 0 0
[aA] 34 2 0 0 5 false false false false 4 2 false false false true true true 0 2
[TO_Ack] 35 3 0 0 5 false false false false 4 2 false false false true true true 0 0
[aF] 36 2 0 1 5 false false false false 4 2 false false false true true true 1 0
[aG] 37 2 0 1 5 false false false false 2 2 false false false true true true 0 0
[aA] 38 2 0 1 5 false false false false 4 2 false false false true true true 0 1
[aB] 39 4 0 1 5 false true false false 4 2 false false false true true true 0 0
sender 40 1 0 1 6 false true false false 4 2 false false false true true true 0 0
[aF] 41 2 0 0 6 true true false false 4 2 false false false true true true 1 0
[aG] 42 2 0 0 6 true true false false 2 2 false false true true true true 0 0
receiver 43 2 0 0 6 true true false false 3 2 false false true true true true 0 0
[aA] 44 2 0 0 6 true true false false 4 2 false false true false true true 0 1
[aB] 45 4 0 0 6 true false false false 4 2 false false true false true true 0 0
sender 46 1 0 0 7 true false false false 4 2 false false true false true true 0 0
[aF] 47 2 0 0 7 false false false false 4 2 false false true false true true 1 0
[aG] 48 2 0 0 7 false false false false 2 2 false false false false true true 0 0
receiver 49 2 0 0 7 false false false false 3 2 false false false false true true 0 0
[aA] 50 2 0 0 7 false false false false 4 2 false false false true true true 0 1
[aB] 51 4 0 0 7 false true false false 4 2 false false false true true true 0 0
sender 52 1 0 0 8 false true false false 4 2 false false false true true true 0 0
[aF] 53 2 0 0 8 true true false false 4 2 false false false true true true 1 0
[aG] 54 2 0 0 8 true true false false 2 2 false false true true true true 0 0
receiver 55 2 0 0 8 true true false false 3 2 false false true true true true 0 0
[aA] 56 2 0 0 8 true true false false 4 2 false false true false true true 0 1
[aB] 57 4 0 0 8 true false false false 4 2 false false true false true true 0 0
sender 58 1 0 0 9 true false false false 4 2 false false true false true true 0 0
[aF] 59 2 0 0 9 false false false false 4 2 false false true false true true 1 0
[aG] 60 2 0 0 9 false false false false 2 2 false false false false true true 0 0
receiver 61 2 0 0 9 false false false false 3 2 false false false false true true 0 0
[aA] 62 2 0 0 9 false false false false 4 2 false false false true true true 0 1
[aB] 63 4 0 0 9 false true false false 4 2 false false false true true true 0 0
sender 64 1 0 0 10 false true false false 4 2 false false false true true true 0 0
[aF] 65 2 0 0 10 true true false false 4 2 false false false true true true 1 0
[aG] 66 2 0 0 10 true true false false 2 2 false false true true true true 0 0
receiver 67 2 0 0 10 true true false false 3 2 false false true true true true 0 0
[aA] 68 2 0 0 10 true true false false 4 2 false false true false true true 0 1
[aB] 69 4 0 0 10 true false false false 4 2 false false true false true true 0 0
sender 70 1 0 0 11 true false false false 4 2 false false true false true true 0 0
[aF] 71 2 0 0 11 false false false false 4 2 false false true false true true 1 0
[aG] 72 2 0 0 11 false false false false 2 2 false false false false true true 0 0
receiver 73 2 0 0 11 false false false false 3 2 false false false false true true 0 0
[aA] 74 2 0 0 11 false false false false 4 2 false false false true true true 0 1
[aB] 75 4 0 0 11 false true false false 4 2 false false false true true true 0 0
sender 76 1 0 0 12 false true false false 4 2 false false false true true true 0 0
[aF] 77 2 0 0 12 true true false false 4 2 false false false true true true 1 0
[aG] 78 2 0 0 12 true true false false 2 2 false false true true true true 0 0
receiver 79 2 0 0 12 true true false false 3 2 false false true true true true 0 0
[aA] 80 2 0 0 12 true true false false 4 2 false false true false true true 0 1
[aB] 81 4 0 0 12 true false false false 4 2 false false true false true true 0 0
sender 82 1 0 0 13 true false false false 4 2 false false true false true true 0 0
[aF] 83 2 0 0 13 false false false false 4 2 false false true false true true 1 0
[aG] 84 2 0 0 13 false false false false 2 2 false false false false true true 0 0
receiver 85 2 0 0 13 false false false false 3 2 false false false false true true 0 0
[aA] 86 2 0 0 13 false false false false 4 2 false false false true true true 0 1
[aB] 87 4 0 0 13 false true false false 4 2 false false false true true true 0 0
sender 88 1 0 0 14 false true false false 4 2 false false false true true true 0 0
[aF] 89 2 0 0 14 true true false false 4 2 false false false true true true 1 0
[aG] 90 2 0 0 14 true true false false 2 2 false false true true true true 0 0
receiver 91 2 0 0 14 true true false false 3 2 false false true true true true 0 0
[aA] 92 2 0 0 14 true true false false 4 2 false false true false true true 0 1
[aB] 93 4 0 0 14 true false false false 4 2 false false true false true true 0 0
sender 94 1 0 0 15 true false false false 4 2 false false true false true true 0 0
[aF] 95 2 0 0 15 false false false false 4 2 false false true false true true 1 0
[aG] 96 2 0 0 15 false false false false 2 2 false false false false true true 0 0
receiver 97 2 0 0 15 false false false false 3 2 false false false false true true 0 0
[aA] 98 2 0 0 15 false false false false 4 2 false false false true true true 0 1
[aB] 99 4 0 0 15 false true false false 4 2 false false false true true true 0 0
sender 100 1 0 0 16 false true false false 4 2 false false false true true true 0 0
[aF] 101 2 0 0 16 true true false false 4 2 false false false true true true 1 0
[aG] 102 2 0 0 16 true true false false 2 2 false false true true true true 0 0
receiver 103 2 0 0 16 true true false false 3 2 false false true true true true 0 0
[aA] 104 2 0 0 16 true true false false 4 2 false false true false true true 0 1
[aB] 105 4 0 0 16 true false false false 4 2 false false true false true true 0 0
sender 106 1 0 0 17 true false false false 4 2 false false true false true true 0 0
[aF] 107 2 0 0 17 false false false false 4 2 false false true false true true 1 0
[aG] 108 2 0 0 17 false false false false 2 2 false false false false true true 0 0
receiver 109 2 0 0 17 false false false false 3 2 false false false false true true 0 0
[aA] 110 2 0 0 17 false false false false 4 2 false false false true true true 0 1
[aB] 111 4 0 0 17 false true false false 4 2 false false false true true true 0 0
sender 112 1 0 0 18 false true false false 4 2 false false false true true true 0 0
[aF] 113 2 0 0 18 true true false false 4 2 false false false true true true 1 0
[aG] 114 2 0 0 18 true true false false 2 2 false false true true true true 0 0
receiver 115 2 0 0 18 true true false false 3 2 false false true true true true 0 0
[aA] 116 2 0 0 18 true true false false 4 2 false false true false true true 0 1
[aB] 117 4 0 0 18 true false false false 4 2 false false true false true true 0 0
sender 118 1 0 0 19 true false false false 4 2 false false true false true true 0 0
[aF] 119 2 0 0 19 false false false false 4 2 false false true false true true 1 0
[aG] 120 2 0 0 19 false false false false 2 2 false false false false true true 0 0
receiver 121 2 0 0 19 false false false false 3 2 false false false false true true 0 0
[aA] 122 2 0 0 19 false false false false 4 2 false false false true true true 0 1
[aB] 123 4 0 0 19 false true false false 4 2 false false false true true true 0 0
sender 124 1 0 0 20 false true false false 4 2 false false false true true true 0 0
[aF] 125 2 0 0 20 true true false false 4 2 false false false true true true 1 0
[aG] 126 2 0 0 20 true true false false 2 2 false false true true true true 0 0
receiver 127 2 0 0 20 true true false false 3 2 false false true true true true 0 0
[aA] 128 2 0 0 20 true true false false 4 2 false false true false true true 0 1
[aB] 129 4 0 0 20 true false false false 4 2 false false true false true true 0 0
sender 130 1 0 0 21 true false false false 4 2 false false true false true true 0 0
[aF] 131 2 0 0 21 false false false false 4 2 false false true false true true 1 0
[aG] 132 2 0 0 21 false false false false 2 2 false false false false true true 0 0
receiver 133 2 0 0 21 false false false false 3 2 false false false false true true 0 0
[aA] 134 2 0 0 21 false false false false 4 2 false false false true true true 0 1
[aB] 135 4 0 0 21 false true false false 4 2 false false false true true true 0 0
sender 136 1 0 0 22 false true false false 4 2 false false false true true true 0 0
[aF] 137 2 0 0 22 true true false false 4 2 false false false true true true 1 0
[aG] 138 2 0 0 22 true true false false 2 2 false false true true true true 0 0
receiver 139 2 0 0 22 true true false false 3 2 false false true true true true 0 0
[aA] 140 2 0 0 22 true true false false 4 2 false false true false true true 0 1
[aB] 141 4 0 0 22 true false false false 4 2 false false true false true true 0 0
sender 142 1 0 0 23 true false false false 4 2 false false true false true true 0 0
[aF] 143 2 0 0 23 false false false false 4 2 false false true false true true 1 0
[aG] 144 2 0 0 23 false false false false 2 2 false false false false true true 0 0
receiver 145 2 0 0 23 false false false false 3 2 false false false false true true 0 0
[aA] 146 2 0 0 23 false false false false 4 2 false false false true true true 0 1
[aB] 147 4 0 0 23 false true false false 4 2 false false false true true true 0 0
sender 148 1 0 0 24 false true false false 4 2 false false false true true true 0 0
[aF] 149 2 0 0 24 true true false false 4 2 false false false true true true 1 0
[aG] 150 2 0 0 24 true true false false 2 2 false false true true true true 0 0
receiver 151 2 0 0 24 true true false false 3 2 false false true true true true 0 0
[aA] 152 2 0 0 24 true true false false 4 2 false false true false true true 0 1
[aB] 153 4 0 0 24 true false false false 4 2 false false true false true true 0 0
sender 154 1 0 0 25 true false false false 4 2 false false true false true true 0 0
[aF] 155 2 0 0 25 false false false false 4 2 false false true false true true 1 0
[aG] 156 2 0 0 25 false false false false 2 2 false false false false true true 0 0
receiver 157 2 0 0 25 false false false false 3 2 false false false false true true 0 0
[aA] 158 2 0 0 25 false false false false 4 2 false false false true true true 0 1
[aB] 159 4 0 0 25 false true false false 4 2 false false false true true true 0 0
sender 160 1 0 0 26 false true false false 4 2 false false false true true true 0 0
[aF] 161 2 0 0 26 true true false false 4 2 false false false true true true 1 0
[aG] 162 2 0 0 26 true true false false 2 2 false false true true true true 0 0
receiver 163 2 0 0 26 true true false false 3 2 false false true true true true 0 0
[aA] 164 2 0 0 26 true true false false 4 2 false false true false true true 0 1
[aB] 165 4 0 0 26 true false false false 4 2 false false true false true true 0 0
sender 166 1 0 0 27 true false false false 4 2 false false true false true true 0 0
[aF] 167 2 0 0 27 false false false false 4 2 false false true false true true 1 0
[aG] 168 2 0 0 27 false false false false 2 2 false false false false true true 0 0
receiver 169 2 0 0 27 false false false false 3 2 false false false false true true 0 0
[aA] 170 2 0 0 27 false false false false 4 2 false false false true true true 0 1
[aB] 171 4 0 0 27 false true false false 4 2 false false false true true true 0 0
sender 172 1 0 0 28 false true false false 4 2 false false false true true true 0 0
[aF] 173 2 0 0 28 true true false false 4 2 false false false true true true 1 0
[aG] 174 2 0 0 28 true true false false 2 2 false false true true true true 0 0
receiver 175 2 0 0 28 true true false false 3 2 false false true true true true 0 0
[aA] 176 2 0 0 28 true true false false 4 2 false false true false true true 0 1
[aB] 177 4 0 0 28 true false false false 4 2 false false true false true true 0 0
sender 178 1 0 0 29 true false false false 4 2 false false true false true true 0 0
[aF] 179 2 0 0 29 false false false false 4 2 false false true false true true 1 0
[aG] 180 2 0 0 29 false false false false 2 2 false false false false true true 0 0
receiver 181 2 0 0 29 false false false false 3 2 false false false false true true 0 0
[aA] 182 2 0 0 29 false false false false 4 2 false false false true true true 0 1
[aB] 183 4 0 0 29 false true false false 4 2 false false false true true true 0 0
sender 184 1 0 0 30 false true false false 4 2 false false false true true true 0 0
[aF] 185 2 0 0 30 true true false false 4 2 false false false true true true 1 0
[aG] 186 2 0 0 30 true true false false 2 2 false false true true true true 0 0
receiver 187 2 0 0 30 true true false false 3 2 false false true true true true 0 0
[aA] 188 2 0 0 30 true true false false 4 2 false false true false true true 0 1
[aB] 189 4 0 0 30 true false false false 4 2 false false true false true true 0 0
sender 190 1 0 0 31 true false false false 4 2 false false true false true true 0 0
[aF] 191 2 0 0 31 false false false false 4 2 false false true false true true 1 0
[aG] 192 2 0 0 31 false false false false 2 2 false false false false true true 0 0
receiver 193 2 0 0 31 false false false false 3 2 false false false false true true 0 0
[aA] 194 2 0 0 31 false false false false 4 2 false false false true true true 0 1
[aB] 195 4 0 0 31 false true false false 4 2 false false false true true true 0 0
sender 196 1 0 0 32 false true false false 4 2 false false false true true true 0 0
[aF] 197 2 0 0 32 true true false false 4 2 false false false true true true 1 0
[aG] 198 2 0 0 32 true true false false 2 2 false false true true true true 0 0
receiver 199 2 0 0 32 true true false false 3 2 false false true true true true 0 0
[aA] 200 2 0 0 32 true true false false 4 2 false false true false true true 0 1
[aB] 201 4 0 0 32 true false false false 4 2 false false true false true true 0 0
sender 202 1 0 0 33 true false false false 4 2 false false true false true true 0 0
[aF] 203 2 0 0 33 false false false false 4 2 false false true false true true 1 0
[aG] 204 2 0 0 33 false false false false 2 2 false false false false true true 0 0
receiver 205 2 0 0 33 false false false false 3 2 false false false false true true 0 0
[aA] 206 2 0 0 33 false false false false 4 2 false false false true true true 0 1
[aB] 207 4 0 0 33 false true false false 4 2 false false false true true true 0 0
sender 208 1 0 0 34 false true false false 4 2 false false false true true true 0 0
[aF] 209 2 0 0 34 true true false false 4 2 false false false true true true 1 0
[aG] 210 2 0 0 34 true true false false 2 2 false false true true true true 0 0
receiver 211 2 0 0 34 true true false false 3 2 false false true true true true 0 0
[aA] 212 2 0 0 34 true true false false 4 2 false false true false true true 0 1
[aB] 213 4 0 0 34 true false false false 4 2 false false true false true true 0 0
sender 214 1 0 0 35 true false false false 4 2 false false true false true true 0 0
[aF] 215 2 0 0 35 false false false false 4 2 false false true false true true 1 0
[aG] 216 2 0 0 35 false false false false 2 2 false false false false true true 0 0
