action step s srep nrtr i bs s_ab fs ls r rrep fr lr br r_ab recv T k l
- 0 0 0 0 0 false false false false 0 0 false false false false false false 0 0
[NewFile] 1 1 0 0 1 false false false false 0 0 false false false false false true 0 0
[aF] 2 2 0 0 1 false false true false 0 0 false false false false false true 1 0
[aG] 3 2 0 0 1 false false true false 1 0 true false false false true true 0 0
receiver 4 2 0 0 1 false false true false 2 0 true false false false true true 0 0
receiver 5 2 0 0 1 false false true false 3 1 true false false false true true 0 0
[aA] 6 2 0 0 1 false false true false 4 1 true false false true true true 0 1
[aB] 7 4 0 0 1 false true true false 4 1 true false false true true true 0 0
sender 8 1 0 0 2 false true true false 4 1 true false false true true true 0 0
[aF] 9 2 0 0 2 true true false false 4 1 true false false true true true 1 0
[aG] 10 2 0 0 2 true true false false 2 1 false false true true true true 0 0
receiver 11 2 0 0 2 true true false false 3 2 false false true true true true 0 0
[aA] 12 2 0 0 2 true true false false 4 2 false false true false true true 0 2
[TO_Ack] 13 3 0 0 2 true true false false 4 2 false false true false true true 0 0
[aF] 14 2 0 1 2 true true false false 4 2 false false true false true true 1 0
[aG] 15 2 0 1 2 true true false false 2 2 false false true false true true 0 0
[aA] 16 2 0 1 2 true true false false 4 2 false false true false true true 0 1
[aB] 17 4 0 1 2 true false false false 4 2 false false true false true true 0 0
sender 18 1 0 1 3 true false false false 4 2 false false true false true true 0 0
[aF] 19 2 0 0 3 false false false false 4 2 false false true false true true 1 0
[aG] 20 2 0 0 3 false false false false 2 2 false false false false true true 0 0
receiver 21 2 0 0 3 false false false false 3 2 false false false false true true 0 0
[aA] 22 2 0 0 3 false false false false 4 2 false false false true true true 0 1
[aB] 23 4 0 0 3 false true false false 4 2 false false false true true true 0 0
sender 24 1 0 0 4 false true false false 4 2 false false false true true true 0 0
[aF] 25 2 0 0 4 true true false false 4 2 false false false true true true 1 0
[aG] 26 2 0 0 4 true true false false 2 2 false false true true true true 0 0
receiver 27 2 0 0 4 true true false false 3 2 false false true true true true 0 0
[aA] 28 2 0 0 4 true true false false 4 2 false false true false true true 0 1
[aB] 29 4 0 0 4 true false false false 4 2 false false true false true true 0 0
sender 30 1 0 0 5 true false false false 4 2 false false true false true true 0 0
[aF] 31 2 0 0 5 false false false false 4 2 false false true false true true 1 0
[aG] 32 2 0 0 5 false false false false 2 2 false false false false true true 0 0
receiver 33 2 0 0 5 false false false false 3 2 false false false false true true 0 0
[aA] 34 2 0 0 5 false false false false 4 2 false false false true true true 0 1
[aB] 35 4 0 0 5 false true false false 4 2 false false false true true true 0 0
sender 36 1 0 0 6 false true false false 4 2 false false false true true true 0 0
[aF] 37 2 0 0 6 true true false false 4 2 false false false true true true 1 0
[aG] 38 2 0 0 6 true true false false 2 2 false false true true true true 0 0
receiver 39 2 0 0 6 true true false false 3 2 false false true true true true 0 0
[aA] 40 2 0 0 6 true true false false 4 2 false false true false true true 0 1
[aB] 41 4 0 0 6 true false false false 4 2 false false true false true true 0 0
sender 42 1 0 0 7 true false false false 4 2 false false true false true true 0 0
[aF] 43 2 0 0 7 false false false false 4 2 false false true false true true 1 0
[aG] 44 2 0 0 7 false false false false 2 2 false false false false true true 0 0
receiver 45 2 0 0 7 false false false false 3 2 false false false false true true 0 0
[aA] 46 2 0 0 7 false false false false 4 2 false false false true true true 0 1
[aB] 47 4 0 0 7 false true false false 4 2 false false false true true true 0 0
sender 48 1 0 0 8 false true false false 4 2 false false false true true true 0 0
[aF] 49 2 0 0 8 true true false false 4 2 false false false true true true 1 0
[aG] 50 2 0 0 8 true true false false 2 2 false false true true true true 0 0
receiver 51 2 0 0 8 true true false false 3 2 false false true true true true 0 0
[aA] 52 2 0 0 8 true true false false 4 2 false false true false true true 0 1
[aB] 53 4 0 0 8 true false false false 4 2 false false true false true true 0 0
sender 54 1 0 0 9 true false false false 4 2 false false true false true true 0 0
[aF] 55 2 0 0 9 false false false false 4 2 false false true false true true 1 0
[aG] 56 2 0 0 9 false false false false 2 2 false false false false true true 0 0
receiver 57 2 0 0 9 false false false false 3 2 false false false false true true 0 0
[aA] 58 2 0 0 9 false false false false 4 2 false false false true true true 0 1
[aB] 59 4 0 0 9 false true false false 4 2 false false false true true true 0 0
sender 60 1 0 0 10 false true false false 4 2 false false false true true true 0 0
[aF] 61 2 0 0 10 true true false false 4 2 false false false true true true 1 0
[aG] 62 2 0 0 10 true true false false 2 2 false false true true true true 0 0
receiver 63 2 0 0 10 true true false false 3 2 false false true true true true 0 0
[aA] 64 2 0 0 10 true true false false 4 2 false false true false true true 0 2
[TO_Ack] 65 3 0 0 10 true true false false 4 2 false false true false true true 0 0
[aF] 66 2 0 1 10 true true false false 4 2 false false true false true true 1 0
[aG] 67 2 0 1 10 true true false false 2 2 false false true false true true 0 0
[aA] 68 2 0 1 10 true true false false 4 2 false false true false true true 0 1
[aB] 69 4 0 1 10 true false false false 4 2 false false true false true true 0 0
sender 70 1 0 1 11 true false false false 4 2 false false true false true true 0 0
[aF] 71 2 0 0 11 false false false false 4 2 false false true false true true 1 0
[aG] 72 2 0 0 11 false false false false 2 2 false false false false true true 0 0
receiver 73 2 0 0 11 false false false false 3 2 false false false false true true 0 0
[aA] 74 2 0 0 11 false false false false 4 2 false false false true true true 0 1
[aB] 75 4 0 0 11 false true false false 4 2 false false false true true true 0 0
sender 76 1 0 0 12 false true false false 4 2 false false false true true true 0 0
[aF] 77 2 0 0 12 true true false false 4 2 false false false true true true 1 0
[aG] 78 2 0 0 12 true true false false 2 2 false false true true true true 0 0
receiver 79 2 0 0 12 true true false false 3 2 false false true true true true 0 0
[aA] 80 2 0 0 12 true true false false 4 2 false false true false true true 0 1
[aB] 81 4 0 0 12 true false false false 4 2 false false true false true true 0 0
sender 82 1 0 0 13 true false false false 4 2 false false true false true true 0 0
[aF] 83 2 0 0 13 false false false false 4 2 false false true false true true 2 0
[TO_Msg] 84 3 0 0 13 false false false false 4 2 false false true false true true 0 0
[aF] 85 2 0 1 13 false false false false 4 2 false false true false true true 1 0
[aG] 86 2 0 1 13 false false false false 2 2 false false false false true true 0 0
receiver 87 2 0 1 13 false false false false 3 2 false false false false true true 0 0
[aA] 88 2 0 1 13 false false false false 4 2 false false false true true true 0 1
[aB] 89 4 0 1 13 false true false false 4 2 false false false true true true 0 0
sender 90 1 0 1 14 false true false false 4 2 false false false true true true 0 0
[aF] 91 2 0 0 14 true true false false 4 2 false false false true true true 1 0
[aG] 92 2 0 0 14 true true false false 2 2 false false true true true true 0 0
receiver 93 2 0 0 14 true true false false 3 2 false false true true true true 0 0
[aA] 94 2 0 0 14 true true false false 4 2 false false true false true true 0 1
[aB] 95 4 0 0 14 true false false false 4 2 false false true false true true 0 0
sender 96 1 0 0 15 true false false false 4 2 false false true false true true 0 0
[aF] 97 2 0 0 15 false false false false 4 2 false false true false true true 1 0
[aG] 98 2 0 0 15 false false false false 2 2 false false false false true true 0 0
receiver 99 2 0 0 15 false false false false 3 2 false false false false true true 0 0
[aA] 100 2 0 0 15 false false false false 4 2 false false false true true true 0 1
[aB] 101 4 0 0 15 false true false false 4 2 false false false true true true 0 0
sender 102 1 0 0 16 false true false false 4 2 false false false true true true 0 0
[aF] 103 2 0 0 16 true true false true 4 2 false false false true true true 1 0
[aG] 104 2 0 0 16 true true false true 2 2 false true true true true true 0 0
receiver 105 2 0 0 16 true true false true 3 3 false true true true true true 0 0
[aA] 106 2 0 0 16 true true false true 4 3 false true true false true true 0 1
[aB] 107 4 0 0 16 true false false true 4 3 false true true false true true 0 0
sender 108 0 3 0 16 true false false true 4 3 false true true false true true 0 0
