state id: 1, label: 
state id: 2, label: 100001011
state id: 3, label: 100001111
state id: 4, label: 100011011
state id: 5, label: 100001001
state id: 6, label: 100000011
state id: 7, label: 100001101
state id: 8, label: 100001100
state id: 9, label: 100010011
state id: 10, label: 100001100
state id: 11, label: 100001101
state id: 12, label: 100001100
state id: 13, label: 100001000
state id: 14, label: 100010001
state id: 15, label: 100000001
state id: 16, label: 100001100
state id: 17, label: 100001100
state id: 18, label: 100110001
state id: 19, label: 100100001
state id: 20, label: 100001100
state id: 21, label: 101010101
state id: 22, label: 101000101
state id: 23, label: 100000101
state id: 24, label: 101110001
state id: 25, label: 100001100
state id: 26, label: 111110001
state id: 27, label: 110110000
state id: 28, label: 110110001
state id: 29, label: 110000000
state id: 30, label: 100001100
state id: 31, label: 100000000
state id: 32, label: 110110000
state id: 33, label: 111110000
state id: 34, label: 100001100
