action step s
- 0 1
rmc50_5 1 3
rmc50_5 2 1
rmc50_5 3 3
rmc50_5 4 1
rmc50_5 5 6
rmc50_5 6 2
rmc50_5 7 2
rmc50_5 8 1
rmc50_5 9 1
rmc50_5 10 9
rmc50_5 11 6
rmc50_5 12 3
rmc50_5 13 1
rmc50_5 14 1
rmc50_5 15 1
rmc50_5 16 3
rmc50_5 17 3
rmc50_5 18 1
rmc50_5 19 5
rmc50_5 20 2
rmc50_5 21 1
rmc50_5 22 3
rmc50_5 23 5
rmc50_5 24 1
rmc50_5 25 1
rmc50_5 26 3
rmc50_5 27 3
rmc50_5 28 3
rmc50_5 29 1
rmc50_5 30 1
rmc50_5 31 3
rmc50_5 32 1
rmc50_5 33 3
rmc50_5 34 3
rmc50_5 35 1
rmc50_5 36 3
rmc50_5 37 1
rmc50_5 38 8
rmc50_5 39 2
rmc50_5 40 5
rmc50_5 41 3
rmc50_5 42 3
rmc50_5 43 3
rmc50_5 44 5
rmc50_5 45 3
rmc50_5 46 3
rmc50_5 47 1
rmc50_5 48 8
rmc50_5 49 8
rmc50_5 50 5
rmc50_5 51 1
rmc50_5 52 3
rmc50_5 53 1
rmc50_5 54 1
rmc50_5 55 3
rmc50_5 56 6
rmc50_5 57 1
rmc50_5 58 3
rmc50_5 59 2
rmc50_5 60 1
rmc50_5 61 1
rmc50_5 62 9
rmc50_5 63 4
rmc50_5 64 6
rmc50_5 65 3
rmc50_5 66 1
rmc50_5 67 3
rmc50_5 68 3
rmc50_5 69 1
rmc50_5 70 9
rmc50_5 71 4
rmc50_5 72 5
rmc50_5 73 1
rmc50_5 74 9
rmc50_5 75 4
rmc50_5 76 2
rmc50_5 77 1
rmc50_5 78 3
rmc50_5 79 5
rmc50_5 80 1
rmc50_5 81 9
rmc50_5 82 4
rmc50_5 83 2
rmc50_5 84 5
rmc50_5 85 3
rmc50_5 86 1
rmc50_5 87 3
rmc50_5 88 1
rmc50_5 89 3
rmc50_5 90 1
rmc50_5 91 3
rmc50_5 92 1
rmc50_5 93 3
rmc50_5 94 1
rmc50_5 95 9
rmc50_5 96 3
rmc50_5 97 1
rmc50_5 98 3
rmc50_5 99 1
rmc50_5 100 1
rmc50_5 101 1
rmc50_5 102 3
rmc50_5 103 5
rmc50_5 104 3
rmc50_5 105 2
rmc50_5 106 5
rmc50_5 107 1
rmc50_5 108 3
rmc50_5 109 3
rmc50_5 110 1
rmc50_5 111 8
rmc50_5 112 8
rmc50_5 113 2
rmc50_5 114 1
rmc50_5 115 3
rmc50_5 116 2
rmc50_5 117 1
rmc50_5 118 8
rmc50_5 119 5
rmc50_5 120 2
rmc50_5 121 5
rmc50_5 122 3
rmc50_5 123 1
rmc50_5 124 13
rmc50_5 125 12
rmc50_5 126 4
rmc50_5 127 11
rmc50_5 128 8
rmc50_5 129 8
rmc50_5 130 5
rmc50_5 131 2
rmc50_5 132 1
rmc50_5 133 3
rmc50_5 134 1
rmc50_5 135 6
rmc50_5 136 1
rmc50_5 137 3
rmc50_5 138 2
rmc50_5 139 1
rmc50_5 140 1
rmc50_5 141 1
rmc50_5 142 3
rmc50_5 143 1
rmc50_5 144 9
rmc50_5 145 3
rmc50_5 146 1
rmc50_5 147 5
rmc50_5 148 1
rmc50_5 149 3
rmc50_5 150 3
rmc50_5 151 5
rmc50_5 152 3
rmc50_5 153 3
rmc50_5 154 1
rmc50_5 155 3
rmc50_5 156 3
rmc50_5 157 1
rmc50_5 158 3
rmc50_5 159 3
rmc50_5 160 1
rmc50_5 161 1
rmc50_5 162 3
rmc50_5 163 3
rmc50_5 164 1
rmc50_5 165 3
rmc50_5 166 3
rmc50_5 167 1
rmc50_5 168 3
rmc50_5 169 1
rmc50_5 170 1
rmc50_5 171 3
rmc50_5 172 1
rmc50_5 173 6
rmc50_5 174 1
rmc50_5 175 18
rmc50_5 176 5
rmc50_5 177 3
rmc50_5 178 1
rmc50_5 179 3
rmc50_5 180 1
rmc50_5 181 3
rmc50_5 182 5
