state id: 1, label: empty
state id: 2, label: 1011111110111
state id: 3, label: 1011111111111
state id: 4, label: 1011111010111
state id: 5, label: 1010111010111
state id: 6, label: 1010110010111
state id: 7, label: 1010010000111
state id: 8, label: 1010000000111
state id: 9, label: 1000000000111
state id: 10, label: 1000000000011
state id: 11, label: 1000000000001
state id: 12, label: 1100000000000
state id: 13, label: 1000000000000
state id: 14, label: 1010111110111
state id: 15, label: 1010011110111
state id: 16, label: 1010001110111
state id: 17, label: 1010001010111
state id: 18, label: 1011111011111
state id: 19, label: 1010000010111
state id: 20, label: 1010001111111
state id: 21, label: 1010010010111
state id: 22, label: 1010000011111
state id: 23, label: 1010001011111
state id: 24, label: 1000000001111
state id: 25, label: 1010000001111
state id: 26, label: 1010111011111
state id: 27, label: 1000000001011
