state id: 1, label: empty
state id: 2, label: 1011111110111111
state id: 3, label: 1011111110111110
state id: 4, label: 1011111111111110
state id: 5, label: 1011111010111111
state id: 6, label: 1010111010111111
state id: 7, label: 1010110010111111
state id: 8, label: 1010010000111111
state id: 9, label: 1010000000111111
state id: 10, label: 1000000000111111
state id: 11, label: 1000000000011111
state id: 12, label: 1000000000001111
state id: 13, label: 1100000000000111
state id: 14, label: 1000000000000111
state id: 15, label: 1000000000000011
state id: 16, label: 1000000000000001
state id: 17, label: 1100000000000001
state id: 18, label: 1000000000000000
state id: 19, label: 1100000000000011
state id: 20, label: 1010111110111111
state id: 21, label: 1100000000000000
state id: 22, label: 1010001110111111
state id: 23, label: 1010011110111111
state id: 24, label: 1010000010111111
state id: 25, label: 1010001010111111
state id: 26, label: 1010000000111110
state id: 27, label: 1010000010111110
state id: 28, label: 1000000000011110
state id: 29, label: 1000000000111110
state id: 30, label: 1010111110111110
state id: 31, label: 1000000000000101
state id: 32, label: 1010001110111110
state id: 33, label: 1010011110111110
state id: 34, label: 1000000000000110
state id: 35, label: 1000000000000010
state id: 36, label: 1010001010111110
state id: 37, label: 1000000000001110
state id: 38, label: 1011111010111100
state id: 39, label: 1011111011111110
state id: 40, label: 1011111010111110
state id: 41, label: 1011111010111101
state id: 42, label: 1010010010111100
state id: 43, label: 1010000010111100
state id: 44, label: 1011111011111100
state id: 45, label: 1010111010111100
state id: 46, label: 1000000000011100
state id: 47, label: 1000000000001100
state id: 48, label: 1010000000111100
state id: 49, label: 1000000000111100
state id: 50, label: 1010000011111110
state id: 51, label: 1010001011111110
state id: 52, label: 1010001111111110
state id: 53, label: 1000000000000100
state id: 54, label: 1010111011111110
state id: 55, label: 1000000001011110
state id: 56, label: 1000000001111110
state id: 57, label: 1010000001111110
