state id: 1, label: empty
state id: 2, label: 101111111011111
state id: 3, label: 101111111111111
state id: 4, label: 101111101011111
state id: 5, label: 101011101011111
state id: 6, label: 101011001011111
state id: 7, label: 101001000011111
state id: 8, label: 101000000011111
state id: 9, label: 100000000011111
state id: 10, label: 100000000001111
state id: 11, label: 100000000000111
state id: 12, label: 110000000000011
state id: 13, label: 100000000000011
state id: 14, label: 100000000000001
state id: 15, label: 100000000000000
state id: 16, label: 110000000000000
state id: 17, label: 110000000000001
state id: 18, label: 101001111011111
state id: 19, label: 101011111011111
state id: 20, label: 101000101011111
state id: 21, label: 101000111011111
state id: 22, label: 100000000000010
state id: 23, label: 101000001011111
state id: 24, label: 101111101111111
state id: 25, label: 101111101011110
state id: 26, label: 101011101011110
state id: 27, label: 101111101111110
state id: 28, label: 101000001011110
state id: 29, label: 101001001011110
state id: 30, label: 100000000011110
state id: 31, label: 101000000011110
state id: 32, label: 100000000000110
state id: 33, label: 100000000001110
state id: 34, label: 101000001111111
state id: 35, label: 101000000111111
state id: 36, label: 101000111111111
state id: 37, label: 101000101111111
state id: 38, label: 101011101111111
state id: 39, label: 100000000111111
state id: 40, label: 100000000101111
