state id: 1, label: empty
state id: 2, label: 1011111110
state id: 3, label: 1011111111
state id: 4, label: 1011111010
state id: 5, label: 1010111010
state id: 6, label: 1010110010
state id: 7, label: 1010010000
state id: 8, label: 1010000000
state id: 9, label: 1000000000
state id: 10, label: 1100000000
state id: 11, label: 1010111110
state id: 12, label: 1010011110
state id: 13, label: 1010001110
state id: 14, label: 1010001010
state id: 15, label: 1010000010
state id: 16, label: 1011111011
state id: 17, label: 1010010010
state id: 18, label: 1010001011
state id: 19, label: 1010001111
state id: 20, label: 1010000001
state id: 21, label: 1010000011
state id: 22, label: 1010111011
state id: 23, label: 1000000001
