state id: 1, label: empty
state id: 2, label: 10111111111
state id: 3, label: 10111111101
state id: 4, label: 10011111111
state id: 5, label: 10011110111
state id: 6, label: 10001110111
state id: 7, label: 10000110111
state id: 8, label: 10000010111
state id: 9, label: 10000000111
state id: 10, label: 10000000011
state id: 11, label: 10000000010
state id: 12, label: 10000000000
state id: 13, label: 11000000111
state id: 14, label: 11000000011
state id: 15, label: 10000000001
state id: 16, label: 11000000000
state id: 17, label: 10111111001
state id: 18, label: 10001111101
state id: 19, label: 10001111111
state id: 20, label: 10000111111
state id: 21, label: 10000111101
state id: 22, label: 10000101101
state id: 23, label: 10000101111
state id: 24, label: 10000100001
state id: 25, label: 10000100101
state id: 26, label: 10111111100
state id: 27, label: 10000100000
state id: 28, label: 10111011000
state id: 29, label: 10111011100
state id: 30, label: 10011110000
state id: 31, label: 10111110000
state id: 32, label: 10000110000
state id: 33, label: 10001110000
state id: 34, label: 10111111000
state id: 35, label: 10011111000
state id: 36, label: 10000010000
state id: 37, label: 10111010000
state id: 38, label: 10000101000
state id: 39, label: 10001110101
state id: 40, label: 10001111000
state id: 41, label: 10000111000
state id: 42, label: 11000010101
state id: 43, label: 10000110101
state id: 44, label: 10001010101
state id: 45, label: 10000010101
state id: 46, label: 11000111000
state id: 47, label: 11000111111
state id: 48, label: 11000100000
