state id: 1, label: 10110111
state id: 2, label: 10110110
state id: 3, label: 10110000
state id: 4, label: 10110011
state id: 5, label: 10100000
state id: 6, label: 10110100
state id: 7, label: 10101110
state id: 8, label: 10010100
state id: 9, label: 11001000
state id: 10, label: 10101111
state id: 11, label: 10000110
state id: 12, label: 10100100
state id: 13, label: 11101000
state id: 14, label: 10101000
state id: 15, label: 10001000
state id: 16, label: 10001110
state id: 17, label: 11001100
state id: 18, label: 10110010
