state id: 1, label: 101101111
state id: 2, label: 101101110
state id: 3, label: 101101100
state id: 4, label: 101100000
state id: 5, label: 101100110
state id: 6, label: 101000000
state id: 7, label: 101101000
state id: 8, label: 101011100
state id: 9, label: 100101000
state id: 10, label: 110010000
state id: 11, label: 101011110
state id: 12, label: 100001100
state id: 13, label: 101001000
state id: 14, label: 111010000
state id: 15, label: 101010000
state id: 16, label: 100010000
state id: 17, label: 101011111
state id: 18, label: 101101101
state id: 19, label: 101100100
state id: 20, label: 100011100
state id: 21, label: 100011101
state id: 22, label: 101101001
state id: 23, label: 110011001
