state id: 1, label: 1011011110
state id: 2, label: 1011011100
state id: 3, label: 1011011101
state id: 4, label: 1011011001
state id: 5, label: 1011000001
state id: 6, label: 1011001101
state id: 7, label: 1010000001
state id: 8, label: 1011011000
state id: 9, label: 1011010000
state id: 10, label: 1010111000
state id: 11, label: 1001010000
state id: 12, label: 1100100000
state id: 13, label: 1010111100
state id: 14, label: 1000011000
state id: 15, label: 1010010000
state id: 16, label: 1001010001
state id: 17, label: 1100100001
state id: 18, label: 1110100001
state id: 19, label: 1010100001
state id: 20, label: 1011010001
state id: 21, label: 1011011010
state id: 22, label: 1000100001
state id: 23, label: 1000111000
state id: 24, label: 1010111110
state id: 25, label: 1011010010
state id: 26, label: 1011001001
state id: 27, label: 1100110010
state id: 28, label: 1000111010
