state id: 1, label: 101110010
state id: 2, label: 101110000
state id: 3, label: 101111011
state id: 4, label: 101101010
state id: 5, label: 101001111
state id: 6, label: 100001111
state id: 7, label: 101111010
state id: 8, label: 101111110
state id: 9, label: 101101110
state id: 10, label: 101110011
state id: 11, label: 101101011
state id: 12, label: 101001011
state id: 13, label: 101110001
state id: 14, label: 101111001
state id: 15, label: 101101001
state id: 16, label: 101001001
state id: 17, label: 101001110
state id: 18, label: 100001001
state id: 19, label: 110001111
state id: 20, label: 100001110
state id: 21, label: 100101110
state id: 22, label: 101011110
state id: 23, label: 101101111
state id: 24, label: 111001111
