state id: 1, label: empty
state id: 2, label: 101111111111
state id: 3, label: 100111111111
state id: 4, label: 100011111111
state id: 5, label: 100001111111
state id: 6, label: 100001111011
state id: 7, label: 100001111001
state id: 8, label: 100001011001
state id: 9, label: 100001011000
state id: 10, label: 100001001000
state id: 11, label: 100001000000
state id: 12, label: 100000000000
state id: 13, label: 110000000000
state id: 14, label: 110001000000
state id: 15, label: 110001111111
state id: 16, label: 101110111111
state id: 17, label: 110001111011
state id: 18, label: 100010111111
state id: 19, label: 100110111111
state id: 20, label: 110000111111
state id: 21, label: 100000111111
state id: 22, label: 100000111001
state id: 23, label: 100000111011
state id: 24, label: 100000011000
state id: 25, label: 110001011001
state id: 26, label: 100000001000
state id: 27, label: 110000011000
