action step c s1 u1 v1 p1 s2 u2 v2 p2 s3 u3 v3 p3 s4 u4 v4 p4 s5 u5 v5 p5 s6 u6 v6 p6
- 0 1 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0
[pick] 1 1 1 true 1 1 1 true 0 0 1 true 0 0 1 true 1 1 1 true 1 1 1 true 1 1
[read] 2 2 1 true 0 1 1 false 0 0 1 true 1 0 1 false 1 1 1 false 1 1 1 false 1 1
[read] 3 3 1 true 0 1 1 false 1 0 1 true 1 0 1 false 1 0 1 false 1 0 1 false 0 0
[read] 4 4 1 false 1 1 1 false 1 0 1 true 1 0 1 false 1 0 1 false 0 0 1 false 0 0
[read] 5 5 1 false 1 0 1 false 1 0 1 true 1 0 1 false 0 0 1 false 0 0 1 false 1 0
[read] 6 5 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0
[retry] 7 1 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0
[pick] 8 1 1 true 1 1 1 true 1 1 1 true 0 0 1 true 0 0 1 true 1 1 1 true 1 1
[read] 9 2 1 false 1 1 1 true 0 1 1 false 0 0 1 true 1 0 1 false 1 1 1 false 1 1
[read] 10 3 1 false 0 0 1 true 0 1 1 false 1 0 1 true 1 0 1 false 1 0 1 false 1 0
[read] 11 4 1 false 0 0 1 false 1 1 1 false 1 0 1 true 1 0 1 false 1 0 1 false 0 0
[read] 12 5 1 false 1 0 1 false 1 0 1 false 1 0 1 true 1 0 1 false 0 0 1 false 0 0
[read] 13 5 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0
[retry] 14 1 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0
[pick] 15 1 1 true 0 0 1 true 0 0 1 true 1 1 1 true 0 0 1 true 0 0 1 true 1 1
[read] 16 2 1 false 0 0 1 true 1 0 1 true 0 1 1 false 0 0 1 true 1 0 1 true 0 1
[read] 17 3 1 false 1 0 1 false 0 0 1 true 0 1 1 false 1 0 1 false 0 0 1 true 0 1
[read] 18 4 1 false 0 0 1 false 0 0 1 false 1 1 1 false 0 0 1 false 0 0 1 false 1 1
[read] 19 5 1 false 0 0 1 false 1 0 1 false 0 0 1 false 0 0 1 false 1 0 1 false 0 0
[read] 20 5 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0
