action step c s1 u1 v1 p1 s2 u2 v2 p2 s3 u3 v3 p3 s4 u4 v4 p4 s5 u5 v5 p5 s6 u6 v6 p6
- 0 1 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0
[pick] 1 1 1 true 0 0 1 true 0 0 1 true 0 0 1 true 1 1 1 true 1 1 1 true 1 1
[read] 2 2 1 false 0 0 1 false 0 0 1 true 1 0 1 false 1 1 1 false 1 1 1 true 0 1
[read] 3 3 1 false 0 0 1 false 1 0 1 true 1 0 1 false 1 0 1 false 0 0 1 true 0 1
[read] 4 4 1 false 1 0 1 false 1 0 1 true 1 0 1 false 0 0 1 false 0 0 1 true 0 1
[read] 5 5 1 false 1 0 1 false 1 0 1 false 0 0 1 false 0 0 1 false 0 0 1 false 1 1
[read] 6 5 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 1
[retry] 7 1 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0
[pick] 8 1 1 true 1 1 1 true 1 1 1 true 1 1 1 true 0 0 1 true 1 1 1 true 0 0
[read] 9 2 1 false 1 1 1 false 1 1 1 true 0 1 1 true 1 0 1 true 0 1 1 true 1 0
[read] 10 3 1 false 1 0 1 false 0 0 1 false 1 1 1 false 0 0 1 false 1 1 1 true 1 0
[read] 11 4 1 false 0 0 1 false 1 0 1 false 0 0 1 false 1 0 1 false 1 0 1 true 1 0
[read] 12 5 1 false 1 0 1 false 0 0 1 false 1 0 1 false 1 0 1 false 1 0 1 false 0 0
[read] 13 5 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0
[retry] 14 1 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0
[pick] 15 1 1 true 1 1 1 true 1 1 1 true 0 0 1 true 1 1 1 true 1 1 1 true 0 0
[read] 16 2 1 false 1 1 1 true 0 1 1 true 1 0 1 false 1 1 1 true 0 1 1 true 1 0
[read] 17 3 1 false 0 0 1 false 1 1 1 true 1 0 1 false 0 0 1 false 1 1 1 true 1 0
[read] 18 4 1 false 1 0 1 false 1 0 1 false 0 0 1 false 1 0 1 false 1 0 1 false 0 0
[read] 19 5 1 false 1 0 1 false 0 0 1 false 1 0 1 false 1 0 1 false 0 0 1 false 1 0
[read] 20 5 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 0
[retry] 21 1 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0
[pick] 22 1 1 true 0 0 1 true 1 1 1 true 1 1 1 true 1 1 1 true 0 0 1 true 0 0
[read] 23 2 1 true 1 0 1 false 1 1 1 false 1 1 1 true 0 1 1 false 0 0 1 false 0 0
[read] 24 3 1 true 1 0 1 false 1 0 1 false 0 0 1 true 0 1 1 false 0 0 1 false 1 0
[read] 25 4 1 true 1 0 1 false 0 0 1 false 0 0 1 true 0 1 1 false 1 0 1 false 1 0
[read] 26 5 1 false 0 0 1 false 0 0 1 false 0 0 1 false 1 1 1 false 1 0 1 false 1 0
[read] 27 5 2 false 0 0 2 false 0 0 2 false 0 0 2 false 0 1 2 false 0 0 2 false 0 0
[retry] 28 1 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0 0 false 0 0
[pick] 29 1 1 true 0 0 1 true 0 0 1 true 0 0 1 true 1 1 1 true 0 0 1 true 0 0
[read] 30 2 1 false 0 0 1 false 0 0 1 true 1 0 1 true 0 1 1 false 0 0 1 false 0 0
[read] 31 3 1 false 0 0 1 false 1 0 1 false 0 0 1 true 0 1 1 false 0 0 1 false 0 0
[read] 32 4 1 false 1 0 1 false 0 0 1 false 0 0 1 true 0 1 1 false 0 0 1 false 0 0
[read] 33 5 1 false 0 0 1 false 0 0 1 false 0 0 1 true 0 1 1 false 0 0 1 false 1 0
[read] 34 5 2 false 0 0 2 false 0 0 2 false 0 0 2 true 0 0 2 false 0 0 2 false 0 0
[done] 35 5 3 false 0 0 3 false 0 0 3 false 0 0 3 false 0 0 3 false 0 0 3 false 0 0
[loop] 36 5 3 false 0 0 3 false 0 0 3 false 0 0 3 false 0 0 3 false 0 0 3 false 0 0
